personId	eventId	best	worldRank	continentRank	countryRank
2003BRUC01	222	265	1132	466	12
2003BRUC01	333	871	333	124	5
2003BRUC01	333bf	36256	1983	708	19
2003BRUC01	333fm	25	18	13	2
2003BRUC01	333oh	2610	2611	809	16
2003BRUC01	444	4459	759	279	8
2003BRUC01	555	9644	768	272	10
2003BRUC01	666	22172	636	252	8
2003BRUC01	777	48316	1273	520	15
2003BRUC01	clock	1650	640	281	15
2003BRUC01	minx	19091	2057	822	19
2003BRUC01	pyram	383	291	146	5
2003BRUC01	skewb	1103	892	418	7
2003BRUC01	sq1	4858	1247	442	18
2005AKKE01	222	96	12	7	1
2005AKKE01	333	708	57	24	2
2005AKKE01	333bf	8706	267	102	4
2005AKKE01	333fm	24	10	7	1
2005AKKE01	333ft	4293	29	7	1
2005AKKE01	333mbf	960110800	273	127	4
2005AKKE01	333oh	1320	131	41	2
2005AKKE01	444	2999	29	14	2
2005AKKE01	444bf	129400	231	106	5
2005AKKE01	555	6292	25	9	2
2005AKKE01	666	14563	64	26	2
2005AKKE01	777	21419	54	23	2
2005AKKE01	clock	911	131	56	3
2005AKKE01	minx	5978	65	33	1
2005AKKE01	pyram	284	68	35	1
2005AKKE01	skewb	656	351	164	2
2005AKKE01	sq1	1756	172	65	6
